config_n,config_k,prompt_type,mean_accuracy,sd,se,ci95_low,ci95_high,n_cells
2,1,axioms_ontology_v2,0.9322916666666666,0.10192022116087407,0.025480055290218517,0.8823507582978384,0.9822325750354949,16
2,1,classification,0.9479166666666666,0.1003466214899358,0.02508665537248395,0.8987468221365981,0.9970865111967352,16
2,1,features,0.921875,0.13766824723332644,0.03441706180833161,0.8544175588556701,0.9893324411443299,16
2,1,nle,0.9427083333333334,0.08453987663073999,0.021134969157684997,0.9012837937842708,0.9841328728823959,16
2,1,rulebased,0.9322916666666666,0.10636567776969885,0.026591419442424713,0.8801724845595142,0.984410848773819,16
2,5,axioms_ontology_v2,0.984375,0.06249999999999999,0.015624999999999998,0.95375,1.015,16
2,5,classification,1.0,0.0,0.0,1.0,1.0,16
2,5,features,1.0,0.0,0.0,1.0,1.0,16
2,5,nle,1.0,0.0,0.0,1.0,1.0,16
2,5,rulebased,0.9947916666666666,0.020833333333333346,0.0052083333333333365,0.9845833333333333,1.005,16
3,1,axioms_ontology_v2,0.8177083333333334,0.17001838135919306,0.042504595339798265,0.7343993264673288,0.901017340199338,16
3,1,classification,0.9166666666666666,0.10971343143406391,0.027428357858515977,0.8629070852639753,0.970426248069358,16
3,1,features,0.9114583333333333,0.12348620405775126,0.030871551014437816,0.8509500933450351,0.9719665733216314,16
3,1,nle,0.890625,0.13512254383281808,0.03378063595820452,0.8244149535219192,0.9568350464780808,16
3,1,rulebased,0.890625,0.12064161035127202,0.030160402587818005,0.8315106109278767,0.9497393890721233,16
3,5,axioms_ontology_v2,0.9635416666666667,0.06782841915041543,0.016957104787603858,0.9303057412829632,0.9967775920503703,16
3,5,classification,0.9583333333333334,0.09128709291752767,0.022821773229381916,0.9136026578037448,1.003064008862922,16
3,5,features,0.9635416666666667,0.08032774300511807,0.020081935751279516,0.9241810725941589,1.0029022607391747,16
3,5,nle,0.9583333333333334,0.09128709291752767,0.022821773229381916,0.9136026578037448,1.003064008862922,16
3,5,rulebased,0.953125,0.09607457558622923,0.024018643896557307,0.9060484579627477,1.0002015420372523,16
4,1,axioms_ontology_v2,0.8125,0.13088021099321942,0.032720052748304855,0.7483686966133225,0.8766313033866775,16
4,1,classification,0.8541666666666666,0.13437096247164249,0.03359274061791062,0.7883248950555618,0.9200084382777715,16
4,1,features,0.8489583333333334,0.14662483620653288,0.03665620905163322,0.7771121635921323,0.9208045030745344,16
4,1,nle,0.8854166666666666,0.1173590565237645,0.029339764130941123,0.827910728970022,0.9429226043633112,16
4,1,rulebased,0.8541666666666666,0.1475102005261306,0.03687755013153265,0.7818866684088627,0.9264466649244706,16
4,5,axioms_ontology_v2,0.8958333333333334,0.11979921473804346,0.029949803684510865,0.8371317181116921,0.9545349485549747,16
4,5,classification,0.9479166666666666,0.09562174710032503,0.023905436775081258,0.9010620105875073,0.9947713227458259,16
4,5,features,0.9375,0.11587029785896782,0.028967574464741956,0.8807235540491057,0.9942764459508943,16
4,5,nle,0.9375,0.11587029785896782,0.028967574464741956,0.8807235540491057,0.9942764459508943,16
4,5,rulebased,0.9114583333333334,0.1116739218206955,0.027918480455173873,0.8567381116411926,0.9661785550254741,16
