prompt_type,dimension,n_matched,spearman_rho,p_raw,p_bonferroni,sig_05,sig_01,sig_001,stars
nle,textual_groundedness,1151,0.15108254436835053,2.6089921365353443e-07,9.39237169152724e-06,True,True,True,***
nle,hallucination_free,1151,0.18131947160377493,5.782043457767788e-10,2.0815356447964037e-08,True,True,True,***
nle,concept_counting,1151,0.051725801895000006,0.07940697705351586,1.0,False,False,False,
nle,comprehensibility,1151,0.2984095347334603,4.199402745301044e-25,1.5117849883083758e-23,True,True,True,***
nle,conciseness,1151,0.2575327439508257,6.817818270999666e-19,2.4544145775598797e-17,True,True,True,***
nle,specificity,1151,0.13690578730089945,3.137022597545488e-06,0.00011293281351163757,True,True,True,***
nle,discriminativeness,1151,0.3011109394543717,1.497513581774068e-25,5.391048894386645e-24,True,True,True,***
nle,instruction_following,1151,0.157867743283542,7.290630030693034e-08,2.6246268110494923e-06,True,True,True,***
nle,logical_coherence,1151,0.3611026642477553,8.954484629390668e-37,3.2236144665806406e-35,True,True,True,***
features,textual_groundedness,1152,0.18048211737711206,6.835507529337129e-10,2.4607827105613665e-08,True,True,True,***
features,hallucination_free,1152,0.0912140047696653,0.0019417033871014075,0.06990132193565067,False,False,False,
features,concept_counting,1152,-0.034858151195077215,0.23712645433746551,1.0,False,False,False,
features,comprehensibility,1152,0.03197700524923326,0.2781721431046604,1.0,False,False,False,
features,conciseness,1152,-0.008634871362789715,0.7697021324819624,1.0,False,False,False,
features,specificity,1152,0.12946253907928373,1.0437957414719474e-05,0.00037576646692990103,True,True,True,***
features,discriminativeness,1152,0.3011707791109566,1.3949676475042463e-25,5.0218835310152864e-24,True,True,True,***
features,instruction_following,1152,0.05397837353810558,0.0670359255501313,1.0,False,False,False,
features,logical_coherence,1152,0.3470546232225277,6.01272722797917e-34,2.1645818020725014e-32,True,True,True,***
rulebased,textual_groundedness,1150,0.17790777895240054,1.239017141231269e-09,4.4604617084325685e-08,True,True,True,***
rulebased,hallucination_free,1150,0.06276410672775148,0.03331899263472397,1.0,False,False,False,
rulebased,concept_counting,1150,-0.002463314322271202,0.9334982370882602,1.0,False,False,False,
rulebased,comprehensibility,1150,0.06780682783460124,0.021471586712625952,0.7729771216545342,False,False,False,
rulebased,conciseness,1150,0.12169045979134778,3.5092336523820206e-05,0.0012633241148575275,True,True,False,**
rulebased,specificity,1150,0.1693729524596816,7.502409385697389e-09,2.70086737885106e-07,True,True,True,***
rulebased,discriminativeness,1150,0.35048056377356823,1.4215281001056433e-34,5.117501160380316e-33,True,True,True,***
rulebased,instruction_following,1150,0.08113991689884559,0.005902725950716556,0.21249813422579603,False,False,False,
rulebased,logical_coherence,1150,0.19499769642377315,2.564553653944387e-11,9.232393154199793e-10,True,True,True,***
axioms_ontology_v2,textual_groundedness,1146,0.15290388069213268,1.9804756023659152e-07,7.129712168517295e-06,True,True,True,***
axioms_ontology_v2,hallucination_free,1146,0.10865191591153606,0.00022865553537149586,0.00823159927337385,True,True,False,**
axioms_ontology_v2,concept_counting,1146,0.08454054872698097,0.004184280157030053,0.15063408565308192,False,False,False,
axioms_ontology_v2,comprehensibility,1146,0.15659077037033875,9.923207290091514e-08,3.5723546244329452e-06,True,True,True,***
axioms_ontology_v2,conciseness,1146,0.06387468162967475,0.030604775278438984,1.0,False,False,False,
axioms_ontology_v2,specificity,1146,0.1460866876969047,6.810596526140166e-07,2.4518147494104598e-05,True,True,True,***
axioms_ontology_v2,discriminativeness,1146,0.2121979067753771,3.9160888081634495e-13,1.4097919709388419e-11,True,True,True,***
axioms_ontology_v2,instruction_following,1146,0.15710032357488085,9.007792993433748e-08,3.2428054776361492e-06,True,True,True,***
axioms_ontology_v2,logical_coherence,1146,0.0441596334782962,0.13517122966115558,1.0,False,False,False,
