prompt_type,model,correct,total,accuracy,standard_error,ci95_low,ci95_high
axioms_ontology_v2,google/gemini-2.5-flash,277,288,0.9618,0.011294,0.9329,0.9785
axioms_ontology_v2,google/gemma-4-26b-a4b-it,266,288,0.9236,0.015652,0.8871,0.9490
axioms_ontology_v2,meta-llama/llama-4-scout,256,288,0.8889,0.018519,0.8474,0.9202
axioms_ontology_v2,qwen/qwen3-vl-8b-instruct,239,288,0.8299,0.022142,0.7822,0.8688
classification,google/gemini-2.5-flash,279,288,0.9688,0.010253,0.9417,0.9835
classification,google/gemma-4-26b-a4b-it,272,288,0.9444,0.013498,0.9117,0.9655
classification,meta-llama/llama-4-scout,255,288,0.8854,0.018769,0.8434,0.9172
classification,qwen/qwen3-vl-8b-instruct,274,288,0.9514,0.012672,0.9201,0.9708
features,google/gemini-2.5-flash,279,288,0.9688,0.010253,0.9417,0.9835
features,google/gemma-4-26b-a4b-it,268,288,0.9306,0.014979,0.8952,0.9546
features,meta-llama/llama-4-scout,255,288,0.8854,0.018769,0.8434,0.9172
features,qwen/qwen3-vl-8b-instruct,270,288,0.9375,0.014264,0.9034,0.9601
nle,google/gemini-2.5-flash,280,288,0.9722,0.009684,0.9462,0.9859
nle,google/gemma-4-26b-a4b-it,271,288,0.9410,0.013887,0.9075,0.9628
nle,meta-llama/llama-4-scout,260,288,0.9028,0.017457,0.8631,0.9319
nle,qwen/qwen3-vl-8b-instruct,267,288,0.9271,0.015321,0.8911,0.9518
rulebased,google/gemini-2.5-flash,276,288,0.9583,0.011775,0.9286,0.9760
rulebased,google/gemma-4-26b-a4b-it,272,288,0.9444,0.013498,0.9117,0.9655
rulebased,meta-llama/llama-4-scout,249,288,0.8646,0.020162,0.8202,0.8993
rulebased,qwen/qwen3-vl-8b-instruct,266,288,0.9236,0.015652,0.8871,0.9490
