subset,pair,metric,n_trials,statistic,pvalue,pvalue_bonferroni
all,A-B,textual_groundedness,3504,896667.0,0.0,0.0
all,A-B,hallucination_free,3504,200326.5,4.2e-05,0.000378
all,A-B,concept_counting,3504,101493.5,0.000749,0.006744
all,A-B,comprehensibility,3504,18184.5,0.0,0.0
all,A-B,conciseness,3504,13380.0,0.0,0.0
all,A-B,specificity,3504,366583.5,0.0,0.0
all,A-B,discriminativeness,3504,463795.5,0.0,0.0
all,A-B,instruction_following,3504,65485.0,0.0,0.0
all,A-B,logical_coherence,3504,116180.5,0.0,0.0
all,A-C,textual_groundedness,3504,685597.5,0.0,0.0
all,A-C,hallucination_free,3504,179764.5,0.003991,0.035921
all,A-C,concept_counting,3504,78102.5,0.0,0.0
all,A-C,comprehensibility,3504,17275.5,0.0,0.0
all,A-C,conciseness,3504,15285.0,0.0,0.0
all,A-C,specificity,3504,352280.0,0.0,0.0
all,A-C,discriminativeness,3504,429550.0,0.0,0.0
all,A-C,instruction_following,3504,46319.0,0.0,0.0
all,A-C,logical_coherence,3504,67399.0,0.0,0.0
all,B-C,textual_groundedness,3504,681982.0,0.0,0.0
all,B-C,hallucination_free,3504,97693.5,0.0,0.0
all,B-C,concept_counting,3504,27768.5,2.6e-05,0.000232
all,B-C,comprehensibility,3504,33259.0,0.0,2e-06
all,B-C,conciseness,3504,55772.0,0.405619,1.0
all,B-C,specificity,3504,336841.0,0.568263,1.0
all,B-C,discriminativeness,3504,345421.0,0.001773,0.015953
all,B-C,instruction_following,3504,45450.5,0.720627,1.0
all,B-C,logical_coherence,3504,50209.0,0.0,0.0
no_axioms,A-B,textual_groundedness,3007,763515.5,0.0,0.0
no_axioms,A-B,hallucination_free,3007,137422.5,1.8e-05,0.000159
no_axioms,A-B,concept_counting,3007,39573.0,0.0,0.0
no_axioms,A-B,comprehensibility,3007,4718.5,0.337402,1.0
no_axioms,A-B,conciseness,3007,11683.0,0.0,0.0
no_axioms,A-B,specificity,3007,268810.0,0.0,0.0
no_axioms,A-B,discriminativeness,3007,332549.0,0.0,0.0
no_axioms,A-B,instruction_following,3007,41963.5,0.0,0.0
no_axioms,A-B,logical_coherence,3007,52043.0,0.008496,0.076468
no_axioms,A-C,textual_groundedness,3007,533699.0,0.0,0.0
no_axioms,A-C,hallucination_free,3007,93877.0,0.0,0.0
no_axioms,A-C,concept_counting,3007,23079.5,0.0,0.0
no_axioms,A-C,comprehensibility,3007,1531.5,0.0,0.0
no_axioms,A-C,conciseness,3007,13748.0,4.5e-05,0.000407
no_axioms,A-C,specificity,3007,250521.5,0.0,0.0
no_axioms,A-C,discriminativeness,3007,285798.0,0.0,0.0
no_axioms,A-C,instruction_following,3007,17358.0,0.0,0.0
no_axioms,A-C,logical_coherence,3007,35729.5,0.020699,0.186295
no_axioms,B-C,textual_groundedness,3007,440461.0,0.0,0.0
no_axioms,B-C,hallucination_free,3007,47648.5,0.0,0.0
no_axioms,B-C,concept_counting,3007,15704.0,4e-06,3.4e-05
no_axioms,B-C,comprehensibility,3007,702.0,0.0,0.0
no_axioms,B-C,conciseness,3007,25056.0,0.0,0.0
no_axioms,B-C,specificity,3007,268902.0,0.35713,1.0
no_axioms,B-C,discriminativeness,3007,255429.0,1e-06,7e-06
no_axioms,B-C,instruction_following,3007,17154.5,4.4e-05,0.000397
no_axioms,B-C,logical_coherence,3007,28367.0,0.0,1e-06
