dataset,prompt_type,judged_trials,textual_groundedness,textual_groundedness_se,hallucination_free,hallucination_free_se,concept_counting,concept_counting_se,comprehensibility,comprehensibility_se,conciseness,conciseness_se,specificity,specificity_se,discriminativeness,discriminativeness_se,instruction_following,instruction_following_se,logical_coherence,logical_coherence_se,overall_score,overall_score_se
cifar10,axioms_ontology_v2,285,2.1544,0.0720,4.3895,0.0685,4.0737,0.0991,3.8982,0.0425,4.9544,0.0187,2.5404,0.0774,2.9263,0.0943,2.8807,0.0487,2.7333,0.0697,3.3945,0.0387
cifar10,features,288,3.5590,0.0573,4.6736,0.0428,4.6354,0.0623,4.9861,0.0069,4.9653,0.0119,3.5972,0.0493,3.8854,0.0841,4.6875,0.0393,4.8368,0.0325,4.4252,0.0268
cifar10,nle,287,3.5610,0.0521,4.4286,0.0611,4.6516,0.0629,4.9686,0.0103,4.7979,0.0293,3.3798,0.0508,3.7631,0.0813,4.6864,0.0385,4.8153,0.0330,4.3391,0.0295
cifar10,rulebased,287,3.5749,0.0559,4.7491,0.0392,4.4460,0.0775,4.9373,0.0167,4.9721,0.0109,3.9617,0.0477,3.8293,0.0784,4.3728,0.0533,4.6864,0.0424,4.3922,0.0276
dtd,axioms_ontology_v2,288,2.4514,0.0803,4.2465,0.0737,4.0174,0.1015,3.9896,0.0449,4.8472,0.0357,2.9375,0.0862,3.0069,0.0900,2.9201,0.0538,2.8299,0.0763,3.4718,0.0434
dtd,features,288,3.7708,0.0607,4.8403,0.0320,4.7361,0.0550,4.9826,0.0077,4.9410,0.0148,3.8368,0.0476,3.4340,0.0855,4.8368,0.0306,4.8403,0.0312,4.4688,0.0243
dtd,nle,288,3.7569,0.0505,4.2743,0.0627,4.5590,0.0709,4.8681,0.0223,4.6493,0.0425,3.8750,0.0439,3.8889,0.0775,4.5312,0.0442,4.6944,0.0410,4.3441,0.0336
dtd,rulebased,287,3.8606,0.0568,4.7561,0.0408,4.1254,0.0936,4.8746,0.0235,4.8606,0.0332,4.2091,0.0465,3.7979,0.0832,4.2683,0.0586,4.5714,0.0527,4.3693,0.0326
flowers,axioms_ontology_v2,286,2.4441,0.0769,4.4930,0.0618,4.2972,0.0880,3.9650,0.0469,4.9755,0.0092,3.1399,0.0948,3.4126,0.0920,3.2483,0.0551,3.3427,0.0829,3.7020,0.0425
flowers,features,288,3.6736,0.0531,4.8090,0.0292,4.3785,0.0799,4.9861,0.0085,4.9757,0.0091,3.8889,0.0505,3.4931,0.0792,4.8611,0.0270,4.9583,0.0146,4.4471,0.0241
flowers,nle,288,3.6250,0.0442,4.4931,0.0521,4.5799,0.0696,4.9826,0.0077,4.8854,0.0212,3.8993,0.0448,3.5799,0.0694,4.7569,0.0317,4.9271,0.0201,4.4144,0.0247
flowers,rulebased,288,3.7569,0.0533,4.7569,0.0386,4.2014,0.0899,4.9306,0.0165,4.9861,0.0069,4.2222,0.0479,4.0833,0.0645,4.5729,0.0492,4.7604,0.0412,4.4745,0.0310
pets,axioms_ontology_v2,287,2.1707,0.0712,4.4634,0.0600,4.4077,0.0837,4.0279,0.0385,4.9652,0.0184,2.7979,0.0917,3.0348,0.0932,3.1463,0.0531,2.9721,0.0776,3.5540,0.0417
pets,features,288,3.4896,0.0543,4.8958,0.0193,4.9861,0.0139,4.9931,0.0049,4.9896,0.0060,3.9097,0.0464,3.6736,0.0757,4.9062,0.0192,4.9028,0.0223,4.5274,0.0187
pets,nle,288,3.5347,0.0445,4.6562,0.0430,4.9375,0.0284,4.9826,0.0077,4.9062,0.0204,3.7569,0.0436,3.5382,0.0679,4.8333,0.0251,4.9236,0.0198,4.4522,0.0199
pets,rulebased,288,3.5972,0.0463,4.8229,0.0326,4.7257,0.0571,4.9479,0.0140,4.9896,0.0060,4.1597,0.0407,3.9444,0.0705,4.5035,0.0489,4.8472,0.0281,4.5043,0.0226
