prompt_type,dimension,n_matched,spearman_rho,ci95_low,ci95_high
axioms_ontology_v2,comprehensibility,985,0.0818,0.0259,0.1410
axioms_ontology_v2,concept_counting,985,0.2014,0.1376,0.2691
axioms_ontology_v2,conciseness,985,0.1256,0.0553,0.2027
axioms_ontology_v2,discriminativeness,985,0.2364,0.1772,0.2965
axioms_ontology_v2,hallucination_free,985,0.2552,0.1908,0.3243
axioms_ontology_v2,instruction_following,985,0.1414,0.0741,0.2158
axioms_ontology_v2,logical_coherence,985,0.1814,0.1168,0.2529
axioms_ontology_v2,specificity,985,0.2035,0.1479,0.2649
axioms_ontology_v2,textual_groundedness,985,0.1987,0.1473,0.2537
features,comprehensibility,1084,-0.0184,-0.0257,-0.0086
features,concept_counting,1084,0.0874,0.0014,0.1798
features,conciseness,1084,-0.0230,-0.0653,0.0312
features,discriminativeness,1084,0.2690,0.2111,0.3233
features,hallucination_free,1084,0.0868,0.0148,0.1615
features,instruction_following,1084,0.0107,-0.0449,0.0769
features,logical_coherence,1084,0.1476,0.0633,0.2333
features,specificity,1084,0.1174,0.0574,0.1810
features,textual_groundedness,1084,0.1580,0.0954,0.2219
nle,comprehensibility,1101,0.1563,0.0527,0.2717
nle,concept_counting,1101,0.1503,0.0653,0.2506
nle,conciseness,1101,0.2190,0.1336,0.3028
nle,discriminativeness,1101,0.3198,0.2512,0.3874
nle,hallucination_free,1101,0.2640,0.1776,0.3467
nle,instruction_following,1101,0.1680,0.0689,0.2708
nle,logical_coherence,1101,0.3931,0.2967,0.4917
nle,specificity,1101,0.1896,0.1247,0.2524
nle,textual_groundedness,1101,0.2066,0.1533,0.2610
rulebased,comprehensibility,1069,0.0299,-0.0334,0.1109
rulebased,concept_counting,1069,0.0639,-0.0094,0.1441
rulebased,conciseness,1069,0.0868,0.0011,0.1833
rulebased,discriminativeness,1069,0.3765,0.2990,0.4431
rulebased,hallucination_free,1069,0.2188,0.1223,0.3142
rulebased,instruction_following,1069,0.0887,0.0131,0.1667
rulebased,logical_coherence,1069,0.2601,0.1634,0.3558
rulebased,specificity,1069,0.1734,0.0931,0.2490
rulebased,textual_groundedness,1069,0.1951,0.1293,0.2570
