source_model,dataset,judged_trials,textual_groundedness,textual_groundedness_se,hallucination_free,hallucination_free_se,concept_counting,concept_counting_se,comprehensibility,comprehensibility_se,conciseness,conciseness_se,specificity,specificity_se,discriminativeness,discriminativeness_se,instruction_following,instruction_following_se,logical_coherence,logical_coherence_se,overall_score,overall_score_se
google/gemini-2.5-flash,cifar10,248,3.9435,0.0682,4.6935,0.0515,4.7540,0.0563,4.5161,0.0764,4.8750,0.0294,4.2823,0.0669,4.3145,0.0724,4.8831,0.0279,4.7298,0.0537,4.5547,0.0391
google/gemini-2.5-flash,dtd,244,4.3238,0.0643,4.7787,0.0454,4.7377,0.0608,4.6066,0.0716,4.8770,0.0297,4.6885,0.0558,4.4631,0.0731,4.8893,0.0232,4.6270,0.0648,4.6658,0.0390
google/gemini-2.5-flash,flowers,232,4.2759,0.0624,4.7845,0.0426,4.7328,0.0579,4.6940,0.0657,4.8750,0.0316,4.7888,0.0378,4.7629,0.0496,4.9052,0.0228,4.8750,0.0370,4.7438,0.0267
google/gemini-2.5-flash,pets,236,4.1780,0.0696,4.6949,0.0495,4.9195,0.0349,4.6822,0.0684,4.9703,0.0126,4.6398,0.0521,4.5339,0.0622,4.9110,0.0204,4.8559,0.0378,4.7095,0.0260
google/gemma-4-26b-a4b-it,cifar10,254,3.6811,0.0709,4.6772,0.0537,4.8346,0.0469,4.5315,0.0671,4.9134,0.0243,4.0276,0.0741,4.2441,0.0749,4.9016,0.0238,4.7874,0.0429,4.5109,0.0337
google/gemma-4-26b-a4b-it,dtd,238,4.2185,0.0650,4.6008,0.0612,4.7857,0.0539,4.5294,0.0728,4.6807,0.0561,4.5504,0.0573,4.2983,0.0776,4.7689,0.0409,4.6134,0.0590,4.5607,0.0397
google/gemma-4-26b-a4b-it,flowers,221,3.8552,0.0690,4.8281,0.0373,4.6787,0.0658,4.6742,0.0680,4.9412,0.0214,4.6697,0.0423,4.4163,0.0705,4.9638,0.0155,4.9276,0.0226,4.6616,0.0257
google/gemma-4-26b-a4b-it,pets,240,3.5458,0.0769,4.7875,0.0442,4.9292,0.0312,4.5458,0.0727,4.9250,0.0223,4.3542,0.0674,4.1917,0.0796,4.9333,0.0182,4.7833,0.0435,4.5551,0.0313
meta-llama/llama-4-scout,cifar10,244,3.3074,0.0777,4.4508,0.0702,4.5656,0.0739,4.5246,0.0712,4.7377,0.0370,3.8402,0.0836,3.6844,0.0995,4.8033,0.0340,4.4713,0.0688,4.2650,0.0470
meta-llama/llama-4-scout,dtd,241,3.5187,0.0787,4.4647,0.0686,4.5643,0.0741,4.4730,0.0780,4.7676,0.0409,3.9585,0.0846,3.7427,0.1010,4.8174,0.0372,4.4440,0.0712,4.3057,0.0464
meta-llama/llama-4-scout,flowers,219,3.0274,0.0755,4.3425,0.0731,3.8265,0.1152,4.5434,0.0814,4.7763,0.0349,3.7580,0.0866,3.4612,0.1011,4.7854,0.0380,4.5753,0.0620,4.1218,0.0470
meta-llama/llama-4-scout,pets,223,3.1525,0.0820,4.6143,0.0614,4.6457,0.0729,4.4215,0.0890,4.8251,0.0407,4.0179,0.0841,3.5785,0.0973,4.8700,0.0309,4.6592,0.0590,4.3094,0.0463
qwen/qwen3-vl-8b-instruct,cifar10,242,3.3595,0.0880,4.2107,0.0865,4.2438,0.1003,4.3182,0.0930,4.7686,0.0424,3.7149,0.0963,3.6405,0.1034,4.7603,0.0393,4.4711,0.0727,4.1653,0.0623
qwen/qwen3-vl-8b-instruct,dtd,237,3.7342,0.0919,4.3840,0.0816,4.4473,0.0881,4.3755,0.0924,4.8397,0.0338,4.0422,0.0964,3.7468,0.1059,4.8903,0.0278,4.4895,0.0731,4.3277,0.0603
qwen/qwen3-vl-8b-instruct,flowers,228,3.5395,0.0884,4.3333,0.0864,4.1360,0.1035,4.4605,0.0897,4.9254,0.0195,4.1754,0.0917,3.9298,0.0994,4.8070,0.0456,4.7807,0.0511,4.3431,0.0598
qwen/qwen3-vl-8b-instruct,pets,228,3.0044,0.0816,4.2719,0.0872,4.4430,0.0912,4.4912,0.0871,4.8421,0.0374,3.9079,0.0929,3.4605,0.1016,4.7412,0.0460,4.5702,0.0703,4.1925,0.0577
