prompt_type,dimension,judged_trials,mean_score,se_score
axioms_ontology_v2,comprehensibility,588,2.1650,0.0629
axioms_ontology_v2,concept_counting,588,3.5034,0.0786
axioms_ontology_v2,conciseness,588,4.8656,0.0259
axioms_ontology_v2,discriminativeness,588,3.4779,0.0767
axioms_ontology_v2,hallucination_free,588,4.2449,0.0600
axioms_ontology_v2,instruction_following,588,4.6701,0.0331
axioms_ontology_v2,logical_coherence,588,4.0255,0.0632
axioms_ontology_v2,specificity,588,3.3197,0.0773
axioms_ontology_v2,textual_groundedness,588,3.0748,0.0696
features,comprehensibility,1062,4.9944,0.0027
features,concept_counting,1062,4.8004,0.0236
features,conciseness,1062,4.9397,0.0087
features,discriminativeness,1062,3.7853,0.0402
features,hallucination_free,1062,4.8569,0.0153
features,instruction_following,1062,4.9322,0.0090
features,logical_coherence,1062,4.7646,0.0231
features,specificity,1062,4.3220,0.0307
features,textual_groundedness,1062,3.7618,0.0327
nle,comprehensibility,1075,4.9005,0.0124
nle,concept_counting,1075,4.7051,0.0292
nle,conciseness,1075,4.6307,0.0224
nle,discriminativeness,1075,4.0977,0.0392
nle,hallucination_free,1075,4.1898,0.0362
nle,instruction_following,1075,4.8400,0.0143
nle,logical_coherence,1075,4.7200,0.0202
nle,specificity,1075,4.1284,0.0315
nle,textual_groundedness,1075,3.4084,0.0315
rulebased,comprehensibility,1050,4.9829,0.0052
rulebased,concept_counting,1050,4.8448,0.0216
rulebased,conciseness,1050,4.9610,0.0077
rulebased,discriminativeness,1050,4.5314,0.0330
rulebased,hallucination_free,1050,4.8105,0.0203
rulebased,instruction_following,1050,4.8857,0.0131
rulebased,logical_coherence,1050,4.8667,0.0164
rulebased,specificity,1050,4.6905,0.0215
rulebased,textual_groundedness,1050,4.1876,0.0331
