prompt_type,model,dataset,correct,total,accuracy,standard_error,ci95_low,ci95_high
axioms_ontology_v2,qwen/qwen3-vl-8b-instruct,cifar10,59,72,0.8194,0.045331,0.7152,0.8913
axioms_ontology_v2,qwen/qwen3-vl-8b-instruct,dtd,53,72,0.7361,0.051942,0.6242,0.8241
axioms_ontology_v2,qwen/qwen3-vl-8b-instruct,flowers,66,72,0.9167,0.032572,0.8299,0.9612
axioms_ontology_v2,qwen/qwen3-vl-8b-instruct,pets,61,72,0.8472,0.042400,0.7468,0.9125
classification,qwen/qwen3-vl-8b-instruct,cifar10,69,72,0.9583,0.023550,0.8845,0.9857
classification,qwen/qwen3-vl-8b-instruct,dtd,65,72,0.9028,0.034915,0.8126,0.9521
classification,qwen/qwen3-vl-8b-instruct,flowers,72,72,1.0000,0.000000,0.9493,1.0000
classification,qwen/qwen3-vl-8b-instruct,pets,68,72,0.9444,0.026995,0.8657,0.9782
features,qwen/qwen3-vl-8b-instruct,cifar10,68,72,0.9444,0.026995,0.8657,0.9782
features,qwen/qwen3-vl-8b-instruct,dtd,64,72,0.8889,0.037037,0.7958,0.9426
features,qwen/qwen3-vl-8b-instruct,flowers,72,72,1.0000,0.000000,0.9493,1.0000
features,qwen/qwen3-vl-8b-instruct,pets,66,72,0.9167,0.032572,0.8299,0.9612
nle,qwen/qwen3-vl-8b-instruct,cifar10,67,72,0.9306,0.029959,0.8475,0.9700
nle,qwen/qwen3-vl-8b-instruct,dtd,62,72,0.8611,0.040757,0.7629,0.9228
nle,qwen/qwen3-vl-8b-instruct,flowers,72,72,1.0000,0.000000,0.9493,1.0000
nle,qwen/qwen3-vl-8b-instruct,pets,66,72,0.9167,0.032572,0.8299,0.9612
rulebased,qwen/qwen3-vl-8b-instruct,cifar10,67,72,0.9306,0.029959,0.8475,0.9700
rulebased,qwen/qwen3-vl-8b-instruct,dtd,63,72,0.8750,0.038976,0.7792,0.9328
rulebased,qwen/qwen3-vl-8b-instruct,flowers,72,72,1.0000,0.000000,0.9493,1.0000
rulebased,qwen/qwen3-vl-8b-instruct,pets,64,72,0.8889,0.037037,0.7958,0.9426
