prompt_type,model,dataset,config_n,config_k,correct,total,accuracy,standard_error,ci95_low,ci95_high
axioms_ontology_v2,google/gemma-4-26b-a4b-it,flowers,2,1,4,4,1.0000,0.000000,0.5101,1.0000
axioms_ontology_v2,meta-llama/llama-3.2-11b-vision-instruct,flowers,2,1,0,4,0.0000,0.000000,0.0000,0.4899
classification,google/gemma-4-26b-a4b-it,flowers,2,1,4,4,1.0000,0.000000,0.5101,1.0000
classification,meta-llama/llama-3.2-11b-vision-instruct,flowers,2,1,0,4,0.0000,0.000000,0.0000,0.4899
features,google/gemma-4-26b-a4b-it,flowers,2,1,4,4,1.0000,0.000000,0.5101,1.0000
features,meta-llama/llama-3.2-11b-vision-instruct,flowers,2,1,0,4,0.0000,0.000000,0.0000,0.4899
nle,google/gemma-4-26b-a4b-it,flowers,2,1,4,4,1.0000,0.000000,0.5101,1.0000
nle,meta-llama/llama-3.2-11b-vision-instruct,flowers,2,1,0,4,0.0000,0.000000,0.0000,0.4899
rulebased,google/gemma-4-26b-a4b-it,flowers,2,1,4,4,1.0000,0.000000,0.5101,1.0000
rulebased,meta-llama/llama-3.2-11b-vision-instruct,flowers,2,1,0,4,0.0000,0.000000,0.0000,0.4899
